TIME_PERIOD,BIS KR Household/GDP
1962-12-31,1.9
1963-03-31,2.0
1963-06-30,2.0
1963-09-30,2.0
1963-12-31,1.6
1964-03-31,1.5
1964-06-30,1.6
1964-09-30,1.6
1964-12-31,1.4
1965-03-31,1.4
1965-06-30,1.5
1965-09-30,1.5
1965-12-31,2.0
1966-03-31,2.2
1966-06-30,2.7
1966-09-30,3.0
1966-12-31,3.3
1967-03-31,3.5
1967-06-30,4.2
1967-09-30,5.0
1967-12-31,5.4
1968-03-31,5.2
1968-06-30,5.3
1968-09-30,6.0
1968-12-31,6.7
1969-03-31,7.7
1969-06-30,8.8
1969-09-30,9.5
1969-12-31,9.5
1970-03-31,9.3
1970-06-30,9.7
1970-09-30,10.4
1970-12-31,10.9
1971-03-31,11.0
1971-06-30,11.0
1971-09-30,11.3
1971-12-31,11.3
1972-03-31,11.3
1972-06-30,11.3
1972-09-30,11.4
1972-12-31,10.9
1973-03-31,11.0
1973-06-30,11.3
1973-09-30,11.5
1973-12-31,11.6
1974-03-31,11.9
1974-06-30,12.4
1974-09-30,13.2
1974-12-31,13.4
1975-03-31,12.5
1975-06-30,12.4
1975-09-30,12.4
1975-12-31,12.9
1976-03-31,11.9
1976-06-30,11.7
1976-09-30,11.9
1976-12-31,12.3
1977-03-31,11.7
1977-06-30,12.0
1977-09-30,12.5
1977-12-31,12.7
1978-03-31,12.0
1978-06-30,12.8
1978-09-30,12.3
1978-12-31,12.9
1979-03-31,12.3
1979-06-30,12.6
1979-09-30,13.6
1979-12-31,14.2
1980-03-31,14.8
1980-06-30,15.6
1980-09-30,15.9
1980-12-31,16.6
1981-03-31,16.8
1981-06-30,18.5
1981-09-30,19.5
1981-12-31,19.8
1982-03-31,20.2
1982-06-30,20.2
1982-09-30,21.0
1982-12-31,22.5
1983-03-31,22.9
1983-06-30,23.5
1983-09-30,24.2
1983-12-31,24.2
1984-03-31,24.3
1984-06-30,24.3
1984-09-30,24.9
1984-12-31,25.2
1985-03-31,24.9
1985-06-30,26.3
1985-09-30,26.4
1985-12-31,26.9
1986-03-31,26.7
1986-06-30,26.9
1986-09-30,26.9
1986-12-31,27.7
1987-03-31,28.3
1987-06-30,29.0
1987-09-30,28.9
1987-12-31,29.2
1988-03-31,28.9
1988-06-30,29.9
1988-09-30,30.8
1988-12-31,31.4
1989-03-31,32.6
1989-06-30,34.5
1989-09-30,36.1
1989-12-31,36.6
1990-03-31,37.0
1990-06-30,37.8
1990-09-30,38.3
1990-12-31,39.0
1991-03-31,39.7
1991-06-30,40.5
1991-09-30,41.1
1991-12-31,41.2
1992-03-31,41.4
1992-06-30,42.1
1992-09-30,42.6
1992-12-31,42.9
1993-03-31,42.8
1993-06-30,43.2
1993-09-30,44.3
1993-12-31,43.2
1994-03-31,43.7
1994-06-30,44.4
1994-09-30,45.3
1994-12-31,45.0
1995-03-31,44.7
1995-06-30,44.8
1995-09-30,44.5
1995-12-31,44.4
1996-03-31,44.0
1996-06-30,45.0
1996-09-30,46.2
1996-12-31,46.2
1997-03-31,46.8
1997-06-30,47.8
1997-09-30,48.1
1997-12-31,48.3
1998-03-31,46.3
1998-06-30,45.5
1998-09-30,44.4
1998-12-31,44.5
1999-03-31,44.5
1999-06-30,44.6
1999-09-30,44.4
1999-12-31,43.5
2000-03-31,47.9
2000-06-30,47.3
2000-09-30,47.9
2000-12-31,47.6
2001-03-31,48.0
2001-06-30,49.4
2001-09-30,51.4
2001-12-31,52.6
2002-03-31,55.5
2002-06-30,58.6
2002-09-30,61.0
2002-12-31,61.7
2003-03-31,60.9
2003-06-30,60.5
2003-09-30,60.1
2003-12-31,60.6
2004-03-31,59.5
2004-06-30,58.7
2004-09-30,58.3
2004-12-31,58.1
2005-03-31,57.7
2005-06-30,59.3
2005-09-30,60.0
2005-12-31,61.1
2006-03-31,61.2
2006-06-30,62.4
2006-09-30,63.0
2006-12-31,65.0
2007-03-31,65.1
2007-06-30,65.6
2007-09-30,65.9
2007-12-31,66.5
2008-03-31,66.8
2008-06-30,67.6
2008-09-30,67.9
2008-12-31,68.1
2009-03-31,67.6
2009-06-30,68.8
2009-09-30,69.4
2009-12-31,70.1
2010-03-31,69.7
2010-06-30,69.3
2010-09-30,69.6
2010-12-31,70.2
2011-03-31,70.2
2011-06-30,71.4
2011-09-30,71.9
2011-12-31,73.3
2012-03-31,73.0
2012-06-30,72.9
2012-09-30,73.1
2012-12-31,74.0
2013-03-31,73.3
2013-06-30,74.1
2013-09-30,74.1
2013-12-31,74.9
2014-03-31,74.5
2014-06-30,74.5
2014-09-30,75.5
2014-12-31,76.4
2015-03-31,76.4
2015-06-30,77.3
2015-09-30,78.2
2015-12-31,79.2
2016-03-31,79.3
2016-06-30,80.2
2016-09-30,81.4
2016-12-31,82.9
2017-03-31,82.9
2017-06-30,83.5
2017-09-30,84.1
2017-12-31,84.8
2018-03-31,85.1
2018-06-30,85.5
2018-09-30,86.2
2018-12-31,86.8
2019-03-31,86.7
2019-06-30,87.3
2019-09-30,88.3
2019-12-31,89.6
2020-03-31,90.0
2020-06-30,92.5
2020-09-30,94.7
2020-12-31,97.1
2021-03-31,98.3
2021-06-30,98.7
2021-09-30,99.1
2021-12-31,98.7
2022-03-31,97.9
2022-06-30,98.0
2022-09-30,97.6
2022-12-31,97.3
2023-03-31,94.1
2023-06-30,94.1
2023-09-30,94.0
2023-12-31,93.0
2024-03-31,91.2
2024-06-30,90.4
2024-09-30,90.1
2024-12-31,89.6
2025-03-31,89.5
2025-06-30,89.7
2025-09-30,89.4
